Zip,CurrentTemp,CurrentCondition,MorningTemp,AfternoonTemp,EveningTemp,OvernightTemp,Wind
37119,47,Clear,52,56,46,41,5
37121,46,Clear,52,58,44,41,5
37122,48,Clear,54,59,45,42,5
37127,46,Clear,53,58,43,39,3
37128,46,Fair,53,58,43,40,4
37129,47,Fair,53,58,43,40,3
37130,47,Fair,52,58,43,41,3
37131,47,Partly Cloudy,52,59,43,41,4
37132,48,Fair,52,59,43,41,3
37133,47,Partly Cloudy,52,59,43,41,4
37134,51,Partly Cloudy,51,60,49,44,3
37135,47,Clear,52,58,44,42,5
37136,41,Clear,51,57,41,38,4
37137,47,Fair,53,60,46,41,3
37138,50,Clear,53,60,46,43,4
37140,49,Partly Cloudy,53,62,47,42,2
37141,48,Clear,52,56,46,41,5
37142,50,Clear,54,60,50,44,5
37143,50,Clear,51,60,47,43,4
37144,43,Clear,53,59,41,40,1
37145,43,Clear,51,58,43,40,2
37146,48,Fair,54,57,45,41,4
37148,47,Clear,52,56,46,42,4
37149,42,Clear,53,57,42,39,2
37150,46,Clear,52,57,44,41,3
37151,42,Clear,51,58,42,39,3
37152,49,Fair,52,58,46,42,5
37153,45,Clear,52,58,42,41,4
37160,41,Clear,52,59,41,39,2
37161,41,Clear,51,58,41,39,2
37162,41,Clear,51,58,41,39,2
37165,49,Fair,53,59,48,43,5
37166,42,Clear,51,57,41,38,2
37167,46,Clear,53,59,43,41,3
37171,49,Clear,53,59,48,43,5
37172,49,Partly Cloudy,53,58,45,41,6
37174,45,Fair,52,60,41,40,3
37175,49,Partly Cloudy,53,60,50,44,4
37178,48,Partly Cloudy,54,60,49,44,4
37179,45,Fair,51,59,42,40,4
37180,41,Clear,53,59,40,38,3
37181,50,Partly Cloudy,53,59,48,43,6
37183,42,Clear,53,57,40,38,2
37184,39,Clear,52,58,43,39,4
37185,50,Partly Cloudy,52,59,47,43,3
37186,46,Clear,51,57,44,40,3
37187,50,Fair,52,59,47,43,5
37188,47,Clear,51,57,46,42,5
37189,51,Clear,52,60,47,44,4
37190,41,Clear,53,57,42,38,1
37191,48,Clear,53,59,49,44,4
37201,53,Clear,53,62,47,44,5
37202,53,Clear,53,62,47,44,5
37203,53,Clear,53,62,47,44,5
37204,52,Clear,53,62,47,43,6
37205,50,Clear,52,62,47,43,5
37206,52,Clear,53,61,47,44,5
37207,52,Clear,53,61,47,44,5
37208,52,Clear,52,62,47,43,5
37209,51,Clear,52,62,47,43,5
37210,52,Clear,54,61,48,44,6
37211,50,Clear,55,60,48,44,6
37212,53,Clear,52,62,47,44,5
37213,53,Clear,53,62,47,44,5
37214,51,Clear,54,61,48,44,6
37215,51,Clear,52,61,47,43,5
37216,52,Clear,54,61,47,44,5
37217,50,Clear,54,60,47,44,6
37218,51,Clear,52,61,46,43,4
37219,53,Clear,53,62,47,44,5
37220,50,Clear,52,61,47,43,6
37221,49,Clear,52,61,47,43,5
37222,53,Clear,53,62,47,44,5
